"","Country","avg_GDP","avg_LE"
"95","Grenada",12932.1659142857,73.6321676470588
"96","Lebanon",12964.0706176471,75.2630264705882
"97","Algeria",13318.7878571429,72.2865941176471
"98","Guyana",13557.7509342857,65.4102
"99","Azerbaijan",13650.6577485714,67.9337852941177
"100","Colombia",13674.3869142857,73.1261235294118
"101","Iran",13705.2236857143,72.2187911764706
"102","Dominican Republic",14251.72962,71.2470617647059
"103","Botswana",14642.1096,58.8818205882353
"104","North Macedonia",14950.5813714286,73.86925
"105","Dominica",15294.0388,71.1939323529412
"106","World",15319.6658857143,68.5768676470588
"107","Ukraine",15407.9011142857,69.8502529411765
"108","Thailand",15444.1030571429,73.3963235294118
"109","Maldives",15746.4984857143,73.7420088235294
"110","Brazil",16024.5158142857,71.6960029411765
"111","Serbia",16161.3902,73.6995647058824
"112","Libya",16874.6010571429,71.3096441176471
"113","Mauritius",17498.7775571429,72.6646647058824
"114","Costa Rica",17638.8649714286,78.4680882352941
"115","Montenegro",18691.2370714286,74.9334205882353
"116","Belarus",18826.1470857143,70.8206588235294
"117","Bulgaria",19336.3084857143,72.8427647058824
"118","Equatorial Guinea",19410.89342,56.8064
"119","Suriname",19540.8297714286,67.3590029411765
"120","Saint Lucia",20030.9223428571,71.87405
"121","Mexico",20064.0367428571,72.6764382352941
"122","Turkey",20575.1328,73.5130852941176
"123","Barbados",20767.8831142857,75.1243029411765
"124","Gabon",20915.0924571429,63.9052029411765
"125","Panama",21432.3679714286,75.1906882352941
"126","Chile",21847.9357428571,77.9615617647059
"127","Malaysia",22587.7407714286,74.0314147058824
"128","Uruguay",22700.0241142857,75.6163882352941
"129","Kazakhstan",22719.0758571429,67.6161294117647
"130","Romania",22818.3599428571,72.3307088235294
"131","Seychelles",22995.6772857143,71.6902970588235
"132","Saint Kitts and Nevis",23158.9315142857,69.8437470588235
"133","Latvia",23646.4033714286,71.5715764705882
"134","Argentina",24454.9561714286,74.7239323529412
"135","Poland",25397.6334428571,74.9613970588235
"136","Antigua and Barbuda",25818.8049142857,75.6388352941176
"137","Croatia",25928.5840571429,75.4039852941176
"138","Slovakia",26271.7962857143,74.5915558823529
"139","Trinidad and Tobago",26884.6461428571,70.4984647058824
"140","Lithuania",27302.67,72.5592735294118
"141","Hungary",27696.6462285714,73.2333117647059
"142","Estonia",29145.8522571429,73.7092323529412
"143","Russia",29473.6443714286,68.2962352941177
"144","Bahamas",32863.7809428571,72.8093529411765
"145","Greece",32960.8626571429,79.6027794117647
"146","Malta",34948.3501428571,79.7938588235294
"147","Portugal",35048.2092,78.6612558823529
"148","South Korea",35074.2665714286,78.6419382352941
"149","Slovenia",35139.7835142857,77.6805323529412
"150","Israel",36287.5380285714,80.5728029411765
"151","Czechia",36352.0086857143,76.2514764705882
"152","Cyprus",36867.7907142857,79.2580029411765
"153","New Zealand",40088.7262857143,79.6125411764706
"154","Oman",40505.0900857143,75.3983058823529
"155","Japan",40825.4319142857,82.1867235294118
"156","Spain",40888.4023714286,80.6863264705882
"157","United Kingdom",45066.1322857143,79.0779647058824
"158","France",47429.0155142857,80.3405823529412
"159","Italy",48608.1526857143,80.7687176470588
"160","Finland",49412.4892571429,79.1107441176471
"161","Australia",49435.3942285714,80.8522382352941
"162","Canada",50483.1677714286,80.2234205882353
"163","Sweden",52465.6876571429,80.7346264705882
"164","Belgium",53244.0137714286,79.1682852941177
"165","Germany",53706.1437714286,79.0279411764706
"166","Bahrain",53931.4079142857,76.8617235294118
"167","Iceland",54609.4755142857,80.7193352941176
"168","Austria",56316.0010285714,79.4396147058823
"169","Andorra",57445.2199142857,82.5870764705882
"170","Netherlands",58377.2147142857,79.7036264705882
"171","United States",58744.3075428571,77.4567647058823
"172","Saudi Arabia",58753.9838571429,74.4769
"173","Kuwait",59232.8145714286,77.0785617647059
"174","Denmark",59506.6888,78.4105147058823
"175","Ireland",65524.9711142857,78.9551294117647
"176","Switzerland",71437.2478571429,81.1906470588235
"177","Norway",79624.8499428571,80.2480823529412
"178","United Arab Emirates",85374.3208285714,78.3859235294118
"179","Singapore",87800.9192285714,79.9060470588235
"180","Brunei",93820.4484,74.1142852941176
"181","Qatar",103492.023828571,77.9727029411765
"182","Luxembourg",118573.547257143,78.8472205882353
