"","Country","avg_GDP_2","avg_happiness"
"46","Syria",5532.52636666667,3.584
"47","Cambodia",5578.85323571429,4.36074285714286
"48","Marshall Islands",5600.3038,NA
"49","Djibouti",5624.86050833333,4.672
"50","Kyrgyzstan",5805.23112857143,5.44975
"51","Palestine",5826.42782142857,4.69655714285714
"52","Mauritania",5985.11223571429,4.44104285714286
"53","Honduras",5998.05977142857,5.63251428571429
"54","Ghana",6084.32617142857,4.66957142857143
"55","Bangladesh",6298.66625714286,4.56162857142857
"56","Tonga",6538.02126923077,NA
"57","Samoa",6723.64104285714,NA
"58","Nicaragua",6916.53637142857,6.01479285714286
"59","Laos",7248.06391428571,5.01873846153846
"60","India",7291.83022857143,4.24430714285714
"61","Congo",7501.67511428571,4.68495714285714
"62","Cape Verde",8128.20419285714,NA
"63","Uzbekistan",8217.14935,6.01882857142857
"64","Nigeria",8234.02608571429,4.95079285714286
"65","Morocco",8324.30912142857,4.96984285714286
"66","Philippines",8383.11611428571,5.6015
"67","Eswatini",9509.67535714286,4.23812222222222
"68","Jordan",9730.61732142857,4.8066
"69","El Salvador",10141.7963214286,6.18402142857143
"70","Angola",10187.8716785714,4.20933333333333
"71","Jamaica",10399.0480357143,5.83291428571429
"72","Vietnam",10671.2178571429,5.54046428571429
"73","Namibia",10927.9555714286,4.65609166666667
"74","Nauru",11005.0375928571,NA
"75","Bolivia",11052.9578571429,5.77075
"76","Kosovo",11094.8586428571,6.02308571428571
"77","Guatemala",11173.51,6.31349285714286
"78","Fiji",11740.6174285714,NA
"79","Indonesia",11818.2853928571,5.3369
"80","Belize",11881.6825714286,6.29016666666667
"81","Tunisia",12673.1646071429,4.67015714285714
"82","Bhutan",12887.6651538462,5.1248
"83","Moldova",13269.0948214286,5.74460714285714
"84","Sri Lanka",13328.6177857143,4.25942857142857
"85","Libya",13550.5587857143,5.54990769230769
"86","Iraq",13579.3369285714,4.80112857142857
"87","Ecuador",13655.5897857143,5.84751428571429
"88","South Africa",14202.7352857143,4.95165
"89","Turkmenistan",14383.7852142857,5.57661
"90","Mongolia",14389.8068928571,5.33865714285714
"91","Egypt",14555.5874285714,4.2536
"92","Peru",14659.8267142857,5.7257
"93","Lebanon",14755.5138076923,4.27782142857143
"94","Paraguay",14795.1842857143,5.75129285714286
"95","Armenia",14842.3025714286,4.85641428571429
"96","Algeria",15003.3867857143,5.43715
"97","Grenada",15461.6706071429,NA
"98","Saint Vincent and the Grenadines",15537.6844285714,NA
"99","Iran",15743.8357857143,4.82588571428571
"100","Albania",15989.3085,5.07855
"101","Bosnia and Herzegovina",16028.6502142857,5.48293571428571
"102","Ukraine",16689.2781785714,4.67740714285714
"103","Colombia",16881.3957142857,6.11738571428571
"104","Botswana",17121.3436428571,3.70270714285714
"105","Dominica",17150.16675,NA
"106","Georgia",17163.6932857143,4.68004285714286
"107","China",17341.2596785714,5.39906428571429
"108","Palau",18359.5264615385,NA
"109","Brazil",18443.7856428571,6.52561428571429
"110","Gabon",19310.6949285714,4.70925384615385
"111","Maldives",19491.7469285714,5.1978
"112","Dominican Republic",19603.5785,5.44987142857143
"113","Thailand",19680.9193571429,6.12998571428571
"114","Azerbaijan",20264.6009285714,5.04629230769231
"115","North Macedonia",20423.8450714286,5.14355714285714
"116","Barbados",20613.2589285714,NA
"117","Serbia",20915.1353571429,5.71137142857143
"118","Mexico",21254.152,6.66592857142857
"119","Saint Lucia",21665.7467142857,NA
"120","Suriname",21771.9735,6.269
"121","Guyana",22075.9380714286,5.993
"122","Costa Rica",22585.3927857143,7.08488571428571
"123","Montenegro",22834.6557857143,5.50179285714286
"124","Turks and Caicos Islands",23445.4687857143,NA
"125","Equatorial Guinea",23556.7935,NA
"126","Mauritius",23564.4722142857,5.79980714285714
"127","Belarus",26480.4179285714,5.59549
"128","Antigua and Barbuda",26781.1688571429,NA
"129","Bulgaria",27449.4428571429,4.92053571428571
"130","Argentina",27606.2742857143,6.28647857142857
"131","Chile",27990.1303571429,6.39939285714286
"132","Turkey",28378.6815,5.18791428571429
"133","Saint Kitts and Nevis",28631.9187142857,NA
"134","Seychelles",28649.1629285714,NA
"135","Malaysia",29088.6002857143,5.82352142857143
"136","Curacao",29165.2935,NA
"137","Uruguay",29216.7947857143,6.43965
"138","Panama",30822.4599285714,6.50477142857143
"139","Kazakhstan",31852.6532857143,6.01742142857143
"140","Latvia",32815.1883571429,5.81214285714286
"141","Bahamas",32821.2183571429,NA
"142","Greece",33013.8592142857,5.561
"143","Romania",33154.6555714286,5.97969285714286
"144","Croatia",33486.4165,5.71676428571429
"145","Trinidad and Tobago",34320.9805,6.16719
"146","Hungary",34538.756,5.59667142857143
"147","Slovakia",35271.1196428571,6.16947142857143
"148","Poland",35823.8287857143,6.15337857142857
"149","Russia",36899.2125714286,5.67485714285714
"150","Aruba",37262.6225714286,NA
"151","Portugal",37922.9997142857,5.63192142857143
"152","Estonia",38831.7204285714,5.94477142857143
"153","Lithuania",39305.6048571429,6.19239285714286
"154","Oman",39486.1224285714,6.525
"155","Puerto Rico",41671.9589285714,6.816
"156","Slovenia",42104.7413571429,6.28067142857143
"157","Israel",43265.1073571429,7.24797142857143
"158","Cyprus",43289.2737857143,6.02964285714286
"159","Japan",43801.7482142857,6.00484285714286
"160","Spain",44254.1424285714,6.43363571428571
"161","Czechia",44266.9992142857,6.71299285714286
"162","United States Virgin Islands",45422.3846666667,NA
"163","New Zealand",46169.799,7.21668571428571
"164","Sint Maarten (Dutch part)",47712.8157857143,NA
"165","South Korea",47806.7485714286,5.93402857142857
"166","Italy",49121.4121428571,6.26902857142857
"167","Malta",49966.2886428571,6.41527142857143
"168","United Kingdom",50272.2754285714,6.86653571428571
"169","France",51756.0713571429,6.61255714285714
"170","Kuwait",54827.6382142857,6.32839230769231
"171","Finland",55151.1405714286,7.65526428571429
"172","Bahrain",55350.3459285714,6.09902142857143
"173","Canada",56041.8296428571,7.17815
